customerID,Churn
0093-XWZFY,NO
2274-XUATA,NO
1980-KXVPM,YES
7703-ZEKEF,NO
0723-DRCLG,YES
5482-NUPNA,NO
6691-CCIHA,NO
1685-BQULA,NO
9053-EJUNL,NO
0666-UXTJO,NO
1471-GIQKQ,NO
4807-IZYOZ,NO
1122-JWTJW,YES
9710-NJERN,NO
9837-FWLCH,NO
1699-HPSBG,NO
7203-OYKCT,NO
1035-IPQPU,NO
7398-LXGYX,NO
2823-LKABH,YES
8775-CEBBJ,NO
0550-DCXLH,NO
9281-CEDRU,NO
2235-DWLJU,YES
0871-OPBXW,NO
3605-JISKB,NO
6894-LFHLY,YES
9767-FFLEM,NO
0639-TSIQW,NO
8456-QDAVC,YES
7750-EYXWZ,NO
2569-WGERO,NO
6840-RESVB,NO
2234-XADUH,NO
4801-JZAZL,NO
8361-LTMKD,YES
3186-AJIEK,NO
