,Country Name,Country Code,Indicator Name,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
38,China,CHN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,64.2,,,,,
39,Cote d'Ivoire,CIV,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,61.9,,,,,,,24.4,
40,Cameroon,CMR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,35.3,,,15.7,,,,,,,39.7,
41,"Congo, Dem. Rep.",COD,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,21.2,,,,38.9,,,15.1,,,,
42,"Congo, Rep.",COG,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,31.8,,,,,,,,
43,Colombia,COL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,43.0,,,,35.3,,,,,,,
44,Comoros,COM,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
45,Cabo Verde,CPV,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,42.7,,,33.1,,,,,,,,
46,Costa Rica,CRI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,65.3,,,,,43.5,,,,,,,
47,Caribbean small states,CSS,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,44.43076923076921
48,Cuba,CUB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
49,Curacao,CUW,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
50,Cayman Islands,CYM,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
51,Cyprus,CYP,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
52,Czech Republic,CZE,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,17.8,,,,25.0,,,,30.8,,,,
53,Germany,DEU,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,20.3,,,,,,,,,,,,
54,Djibouti,DJI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,22.3,,,,
55,Dominica,DMA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,41.0,,,,,,,
56,Denmark,DNK,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
57,Dominican Republic,DOM,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,30.0,,,,,,32.2,
58,Algeria,DZA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,15.0,,,,,,,,,,
59,East Asia & Pacific (excluding high income),EAP,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,47.45384615384621
60,Early-demographic dividend,EAR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,36.353333333333296
61,East Asia & Pacific,EAS,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,47.45384615384621
62,Europe & Central Asia (excluding high income),ECA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,30.005
63,Europe & Central Asia,ECS,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,32.5033333333333
64,Ecuador,ECU,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,32.7,,,,24.1,,,,,,,70.4
65,"Egypt, Arab Rep.",EGY,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,20.9,34.0,,,,,16.1,,,17.8,
66,Euro area,EMU,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,34.42
67,Eritrea,ERI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,4.2,,,,,,,,
68,Spain,ESP,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,34.1,,,,,,,,,,,,
69,Estonia,EST,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,28.3,,,,36.3,,,,35.8,,,,
70,Ethiopia,ETH,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,30.9,,,,,35.3,,,,36.2,,
71,European Union,EUU,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,38.4166666666667
72,Fragile and conflict affected situations,FCS,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,27.2272727272727
73,Finland,FIN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
74,Fiji,FJI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,49.1,,,,,,,,
75,France,FRA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
76,Faroe Islands,FRO,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
77,"Micronesia, Fed. Sts.",FSM,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,86.8,,,,,,,,
78,Gabon,GAB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,33.1,,,,,,,,
79,United Kingdom,GBR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
80,Georgia,GEO,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,35.2,,,40.8,,,,,33.9,,,,
81,Ghana,GHA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,44.0,,,,,,31.6,,,,
82,Gibraltar,GIB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
83,Guinea,GIN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,25.4,,,,,,,,,,9.0,
84,"Gambia, The",GMB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,21.3,,,,,,,,,,,
85,Guinea-Bissau,GNB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,19.9,,,,,,,,,,,
86,Equatorial Guinea,GNQ,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
87,Greece,GRC,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,24.4,,,,,,,,,,,,
88,Grenada,GRD,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,57.3,,,,,,,
89,Greenland,GRL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
90,Guatemala,GTM,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,28.4,,,,44.2,,,,,,,
91,Guam,GUM,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
92,Guyana,GUY,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,58.3,,,,,,,
93,High income,HIC,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,38.87
94,"Hong Kong SAR, China",HKG,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
95,Honduras,HND,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,39.9,,,,43.3,,,,,,54.7,
96,Heavily indebted poor countries (HIPC),HPC,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,30.8137931034483
97,Croatia,HRV,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,19.2,,33.5,,,,,,32.1,,,,
98,Haiti,HTI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
99,Hungary,HUN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,36.5,,,,42.4,,,,47.1,,,,
100,IBRD only,IBD,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,36.8142857142857
101,IDA & IBRD total,IBT,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,34.8657657657658
102,IDA total,IDA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,32.8818181818182
103,IDA blend,IDB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,42.1785714285714
104,Indonesia,IDN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,42.8,,,,,,22.1,,
105,IDA only,IDX,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,29.7073170731707
106,Isle of Man,IMN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
107,India,IND,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,9.1,,,,,,,,10.7,,,
108,Not classified,INX,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
109,Ireland,IRL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,41.6,,,,,,,,,,,,
110,"Iran, Islamic Rep.",IRN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
111,Iraq,IRQ,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,6.8,,,,,,
112,Iceland,ISL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
113,Israel,ISR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,27.3,,,,
114,Italy,ITA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
115,Jamaica,JAM,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,38.2,,,,,,,
116,Jordan,JOR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,13.1,,,,,,,15.7,,,,
117,Japan,JPN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
118,Kazakhstan,KAZ,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,29.4,,,,34.4,,,,28.3,,,,
119,Kenya,KEN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,37.1,,,,,,48.7,,,,
120,Kyrgyz Republic,KGZ,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,26.3,,,,60.4,,,,49.4,,,,
121,Cambodia,KHM,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,46.2,
122,Kiribati,KIR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
123,St. Kitts and Nevis,KNA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,57.8,,,,,,,
124,"Korea, Rep.",KOR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,19.1,,,,,,,,,,,,
125,Kuwait,KWT,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
126,Latin America & Caribbean (excluding high income),LAC,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,45.4238095238095
127,Lao PDR,LAO,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,39.3,,,41.9,,,,43.1,
128,Lebanon,LBN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,33.5,,,,43.5,,,,
129,Liberia,LBR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,53.0,,,,,,,,37.4
130,Libya,LBY,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
131,St. Lucia,LCA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,32.1,,,,,,,
132,Latin America & Caribbean,LCN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,44.3
133,Least developed countries: UN classification,LDC,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,29.742857142857197
134,Low income,LIC,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,26.375
135,Liechtenstein,LIE,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
136,Sri Lanka,LKA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,26.1,,,,,,
137,Lower middle income,LMC,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,35.7609756097561
138,Low & middle income,LMY,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,34.3388349514563
139,Lesotho,LSO,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,18.4,,,,,,,39.1,
140,Late-demographic dividend,LTE,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,38.5514285714286
141,Lithuania,LTU,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,33.3,26.1,,,,38.7,,,,35.8,,,,
142,Luxembourg,LUX,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
143,Latvia,LVA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,36.3,,,,46.3,,,,36.3,,,,
144,"Macao SAR, China",MAC,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
145,St. Martin (French part),MAF,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
146,Morocco,MAR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,13.1,,,,,,31.3,,,,
147,Monaco,MCO,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
148,Moldova,MDA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,24.5,,,,53.1,,,,47.3,,,,
149,Madagascar,MDG,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,50.0,,,,41.6,,,,
150,Maldives,MDV,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
151,Middle East & North Africa,MEA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,23.34
152,Mexico,MEX,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,24.8,,,,25.7,,,,,,,
153,Marshall Islands,MHL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
154,Middle income,MIC,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,36.7582278481013
155,"Macedonia, FYR",MKD,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,18.6,,,,36.4,,,,30.0,,,,
156,Mali,MLI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,18.3,,,58.3,,,,,,15.3,
157,Malta,MLT,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
158,Myanmar,MMR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,27.3,,35.1,
159,Middle East & North Africa (excluding high income),MNA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,22.9
160,Montenegro,MNE,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,26.0,,,,23.9,,,,
161,Mongolia,MNG,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,52.0,,,,37.8,,,,
162,Northern Mariana Islands,MNP,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
163,Mozambique,MOZ,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,24.4,,,,,,,,,,
164,Mauritania,MRT,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,17.3,,,,,,,,15.0,,,
165,Mauritius,MUS,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,16.9,,,,,,,,
166,Malawi,MWI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,23.9,,,,,28.1,,,
167,Malaysia,MYS,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,13.1,,,,,,,,25.4,,
168,North America,NAC,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
169,Namibia,NAM,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,33.4,,,,,,,,41.0,,,
170,New Caledonia,NCL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
171,Niger,NER,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,10.0,,,17.6,,,,,,,,14.5
172,Nigeria,NGA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,20.0,,,,,,,16.2,,,
173,Nicaragua,NIC,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,41.4,,,,61.9,,,,,,35.8,
174,Netherlands,NLD,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
175,Norway,NOR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
176,Nepal,NPL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,27.3,,,,21.8,,,,
177,Nauru,NRU,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
178,New Zealand,NZL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
179,OECD members,OED,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,34.5916666666667
180,Oman,OMN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
181,Other small states,OSS,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,40.122222222222206
182,Pakistan,PAK,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,6.7,,,,,,11.8,,,,
183,Panama,PAN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,37.1,,,,24.7,,,,,,,
184,Peru,PER,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,32.8,,,,28.7,,,,,,,56.6
185,Philippines,PHL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,69.4,,,,,,69.2,,
186,Palau,PLW,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
187,Papua New Guinea,PNG,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,46.5,,
188,Poland,POL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,30.7,,,,47.9,,,,40.4,,,,
189,Pre-demographic dividend,PRE,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,27.867857142857105
190,Puerto Rico,PRI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
191,"Korea, Dem. People’s Rep.",PRK,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,
192,Portugal,PRT,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,50.8,,,,,,,,,,,,
193,Paraguay,PRY,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,44.8,,,,51.6,,,,,,,66.2
194,West Bank and Gaza,PSE,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,18.0,,,,,,,12.6,,,,
195,Pacific island small states,PSS,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,47.4
196,Post-demographic dividend,PST,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,,,,,,,,,,,,,,,,,,,,36.575
