customerID,Churn
4807-IZYOZ,No
1122-JWTJW,Yes
9710-NJERN,No
9837-FWLCH,No
1699-HPSBG,No
7203-OYKCT,Yes
1035-IPQPU,Yes
7398-LXGYX,No
2823-LKABH,No
8775-CEBBJ,No
0550-DCXLH,No
9281-CEDRU,No
2235-DWLJU,No
0871-OPBXW,No
3605-JISKB,No
6894-LFHLY,Yes
9767-FFLEM,Yes
0639-TSIQW,No
8456-QDAVC,Yes
7750-EYXWZ,No
2569-WGERO,No
6840-RESVB,No
2234-XADUH,Yes
4801-JZAZL,No
8361-LTMKD,Yes
3186-AJIEK,No
